tweet_id,timestamp,source,text,url,rating_numerator,rating_denominator,name,favorite_count,retweet_count,dog_growth_phase,wholesome_rates,jpg_url
892420643555336193,2017-08-01 16:23:56,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 ,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13.0,10.0,phineas,33638.0,6953.0,secret,1.3,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg
892177421306343426,2017-08-01 00:17:27,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 ",https://twitter.com/dog_rates/status/892177421306343426/photo/1,13.0,10.0,tilly,29173.0,5259.0,secret,1.3,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg
891815181378084864,2017-07-31 00:18:03,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12.0,10.0,archie,21945.0,3462.0,secret,1.2,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg
891689557279858688,2017-07-30 15:58:51,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13.0,10.0,darla,36720.0,7171.0,secret,1.3,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg
891327558926688256,2017-07-29 16:00:24,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek ",https://twitter.com/dog_rates/status/891327558926688256/photo/1,12.0,10.0,franklin,35115.0,7704.0,secret,1.2,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg
891087950875897856,2017-07-29 00:08:17,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek ,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13.0,10.0,tucker_marlo,17719.0,2578.0,secret,1.3,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg
890971913173991426,2017-07-28 16:27:12,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

",https://gofundme.com/ydvmve-surgery-for-jax,13.0,10.0,jax,10311.0,1644.0,secret,1.3,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg
890729181411237888,2017-07-28 00:22:40,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 ,https://twitter.com/dog_rates/status/890729181411237888/photo/1,13.0,10.0,none,56565.0,15655.0,secret,1.3,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg
890609185150312448,2017-07-27 16:25:51,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek ,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13.0,10.0,zoey,24376.0,3598.0,secret,1.3,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg
890240255349198849,2017-07-26 15:59:51,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14.0,10.0,cassie,27802.0,6053.0,doggo,1.4,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg
890006608113172480,2017-07-26 00:31:25,Twitter for iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek ,https://twitter.com/dog_rates/status/890006608113172480/photo/1,13.0,10.0,koda,26905.0,6101.0,secret,1.3,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg
